pre,寄附件数,寄附金額,寄附件数_県外,寄附金額_県外,返礼品の調達に係る費用,返礼品の送付に係る費用,広報に係る費用,決済等に係る費用,事務に係る費用,その他費用,広報活動,呼びかけ,見直し,イベントPR,決済,用途選択,分野を選択,具体的な事業を選択,クラウドファンディング,まちづくり・市民活動,スポーツ・文化振興,健康・医療・福祉,環境・衛生,教育・人づくり,子ども・子育て,地域・産業振興,観光・交流・定住促進,安心・安全・防災,災害支援・復興
北海道,3996,88327258,3400,74969494,405417,254736,48600,963141,0,1172932,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
青森県,115,3212000,113,3142000,350794,90959,457596,96879,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
岩手県,1154,80347839,1030,55163505,1592403,203991,2243224,245251,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
宮城県,197,10744500,191,10524500,837000,0,164160,50860,0,0,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,40,885900,38,795900,0,14440,87184,92616,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0
山形県,10822,313827800,10818,313697800,84558259,17190238,7725310,2526385,27649095,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
福島県,2008,139949940,1777,136675608,0,0,118946,244126,250878,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
茨城県,2403,54596943,2149,50426943,10433450,1260360,7854300,218629,2147150,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1
栃木県,114,17704500,56,1288500,87040,90760,232740,28966,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,0
群馬県,516,107410100,471,6437100,768511,413009,84240,135041,100000,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
埼玉県,454,18649737,35,2565566,0,0,182876,235280,0,100980,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
千葉県,7,2199000,2,105000,0,1750,0,0,0,410,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,1406,116094576,671,35869204,8587528,0,1669348,558983,48600,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
新潟県,1526,37133282,1511,36867937,9863008,1502138,0,340845,487080,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
富山県,1020,21601000,893,19096000,4262048,1146543,474660,942094,383940,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
石川県,23,6044500,20,6014500,51804,1911,337346,22561,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
福井県,1449,68898146,1066,41621406,2481992,51751,1463065,1724696,874511,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
山梨県,644,18330300,644,18330300,3136662,0,780840,119826,1938928,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0
長野県,41450,475015000,41403,472905000,127918314,42406876,0,6175,69237416,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0
岐阜県,655,16619000,649,15703079,2905000,622000,611280,133672,338600,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
静岡県,1162,16725800,1157,16085800,4875742,0,81437,181120,2522895,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
愛知県,2,305000,2,305000,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0
三重県,1119,21046000,131,3703000,529433,1120,84240,127430,274322,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
滋賀県,119,4765800,81,1434000,532650,34000,127000,85362,105000,154000,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0
京都府,1537,91093915,636,24812811,905130,109902,956829,548925,2216040,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
大阪府,1196,101628742,474,42978302,0,0,281580,32490,0,70740,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0
兵庫県,1707,144558626,382,30928207,4970528,763115,398600,351717,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1
奈良県,773,133433158,303,66179755,1955744,21720,0,694860,225704,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0
和歌山県,2725,37884300,2720,37262300,7368900,1656000,596560,278949,5307903,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0
鳥取県,18237,371386086,18080,366824286,46443609,0,3461302,2709046,19620379,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
島根県,1819,31380205,1816,30860205,7189377,1895830,534600,287370,979560,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0
岡山県,1406,46384110,1079,32974110,5163991,1637540,1586372,168947,2936966,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
広島県,751,129301094,433,93697605,0,90286,48600,286423,617100,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1
山口県,2002,66575500,1155,42875500,17647059,1700783,179388,313960,0,17725800,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1
徳島県,1786,61370323,1588,41150990,3404909,1057062,1299422,218658,3592361,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
香川県,2447,44755481,1810,39606480,8757800,1418900,626400,294396,1396523,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
愛媛県,6501,112386273,6403,109754531,30995000,0,238000,694000,0,96000,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
高知県,4235,74930865,4203,59152865,3856840,1771630,2289996,352131,49005,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1
福岡県,1201,14160971,1160,13623900,2127600,1202310,1155781,181887,775214,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
佐賀県,18315,687561827,17549,657248727,142759306,19557579,36537815,7776284,33412116,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
長崎県,5192,73780600,5181,73445500,20173146,5867087,50000,5609687,670725,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0
熊本県,5013,236549165,4920,222192165,5879122,3630595,4254228,1237756,11090929,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
大分県,112,6145500,112,6145500,1436000,51040,0,84378,66240,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
宮崎県,674,29853100,674,29853100,8425133,889200,0,282351,2242905,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
鹿児島県,383,55687031,223,19798900,1482302,269142,1005620,41874,5152464,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0
沖縄県,752,41979070,741,40880332,997337,60844,0,288533,48600,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
